,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
1058149,2004,85,Debris Burning,,1.0,35.3167,-83.8,POINT (245449.8429677654 3911762.151718287)
1728322,2014,124,Debris Burning,2014/05/04 00:00:00.000,0.5,35.31638889,-83.81638889,POINT (243958.5349104422 3911769.895754333)
1046156,2001,101,Arson,,0.5,35.3167,-83.85,POINT (240903.0627725336 3911891.856110966)
1030172,1998,46,Children,,1.0,35.3183,-83.8183,POINT (243790.78096297 3911986.871510156)
1051952,2002,88,Debris Burning,,2.0,35.3167,-83.9,POINT (236356.2167048283 3912023.861927823)
1017339,1995,73,Arson,,0.1,35.3183,-83.865,POINT (239544.151819648 3912108.733568607)
1772655,2014,67,Children,2014/03/08 00:00:00.000,0.1,35.32166666,-83.7875,POINT (246602.0388676051 3912281.115810719)
1059762,2000,282,Debris Burning,2000/10/08 00:00:00.000,2.0,35.32,-83.90833333,POINT (235609.1564911884 3912412.220940827)
1176685,2010,79,Arson,2010/03/20 00:00:00.000,2.0,35.3216667,-83.8966667,POINT (236675.4589467798 3912566.042466566)
1428037,2010,79,Arson,2010/03/20 00:00:00.000,7.0,35.32285,-83.89588333,POINT (236750.5320950103 3912695.245266505)
1176681,2010,96,Debris Burning,2010/04/06 00:00:00.000,0.25,35.3241667,-83.8955556,POINT (236784.6051194594 3912840.460824631)
1427483,2010,96,Arson,2010/04/06 00:00:00.000,0.5,35.32445,-83.89548333,POINT (236792.0957944001 3912871.700617859)
1026004,1997,351,Miscellaneous,,3.0,35.325,-83.885,POINT (237747.1086676709 3912904.895666878)
1425324,2010,100,Debris Burning,2010/04/10 00:00:00.000,0.5,35.32636666,-83.83016666,POINT (242737.2815719725 3912912.621110505)
1792265,2015,297,Debris Burning,2015/10/24 00:00:00.000,0.5,35.3275,-83.7825,POINT (247074.8711559434 3912915.513443746)
1033831,1999,77,Debris Burning,,1.0,35.3283,-83.7817,POINT (247150.1027931167 3913002.226175477)
1176683,2010,79,Arson,2010/03/20 00:00:00.000,8.0,35.3258333,-83.8991667,POINT (236461.6655885999 3913034.97832877)
1176469,2010,68,Debris Burning,2010/03/09 00:00:00.000,13.0,35.3263889,-83.89611109999998,POINT (236741.3061773878 3913088.490127348)
1459386,2011,100,Arson,2011/04/11 00:00:00.000,22.0,35.32666667,-83.89416667,POINT (236919.0074590231 3913114.13836335)
1459381,2011,97,Arson,2011/04/07 00:00:00.000,18.0,35.32666667,-83.89416667,POINT (236919.0074590231 3913114.13836335)
1058923,1993,89,Debris Burning,,0.1,35.3283,-83.8883,POINT (237457.7281522021 3913279.776832128)
1062332,2004,68,Arson,2004/03/08 00:00:00.000,1.0,35.32833333,-83.895,POINT (236848.6432645791 3913301.268792713)
1058937,1994,327,Arson,,1.0,35.3317,-83.8117,POINT (244433.1611807425 3913456.497510528)
1046159,2001,319,Miscellaneous,,0.1,35.3333,-83.8,POINT (245501.925734125 3913603.861763578)
1033836,1999,322,Arson,,50.0,35.3333,-83.8333,POINT (242474.3983227717 3913690.006483895)
1033837,1999,322,Arson,,145.0,35.3333,-83.8333,POINT (242474.3983227717 3913690.006483895)
1062386,2004,89,Debris Burning,2004/03/29 00:00:00.000,2.0,35.33444444,-83.78444444,POINT (246919.7481712112 3913690.941544377)
1176689,2010,79,Arson,2010/03/20 00:00:00.000,2.0,35.332222200000004,-83.89277779999999,POINT (237063.3037177619 3913726.830375991)
1062352,2004,83,Debris Burning,2004/03/23 00:00:00.000,1.0,35.335,-83.78666667,POINT (246719.4500861685 3913758.263976973)
1033833,1999,95,Debris Burning,,110.0,35.335,-83.7983,POINT (245661.8151573298 3913788.100361492)
1060105,2001,35,Debris Burning,2001/02/04 00:00:00.000,1.0,35.33472222,-83.88472222,POINT (237803.7993089054 3913982.831929555)
1060950,2002,43,Children,2002/02/12 00:00:00.000,1.0,35.34,-83.785,POINT (246886.5819429076 3914308.730075954)
1059756,2000,2,Debris Burning,2000/01/02 00:00:00.000,5.0,35.33833333,-83.88833333,POINT (237487.1796786583 3914393.056529152)
1060066,2000,302,Debris Burning,2000/10/28 00:00:00.000,3.0,35.34166667,-83.82166667,POINT (243558.5283874483 3914588.054876064)
1508590,2011,45,Missing/Undefined,2011/02/14 00:00:00.000,1.0,35.35233333,-83.6845,POINT (256059.8629307654 3915424.598313446)
1060527,2001,322,Arson,2001/11/18 00:00:00.000,1.0,35.35055556,-83.76916667,POINT (248358.7304358093 3915439.437876248)
1001782,1992,35,Arson,,20.0,35.355,-83.6883,POINT (255722.511037201 3915729.824503062)
934613,2002,336,Debris Burning,,0.1,35.2917,-84.1083,POINT (217326.2677352842 3909824.660557519)
130179,1999,225,Arson,1999/08/13 00:00:00.000,3.0,35.28833333,-84.25333333,POINT (204119.7983446612 3909874.715431217)
153490,2000,283,Arson,2000/10/09 00:00:00.000,1.0,35.29027778,-84.20694444,POINT (208347.1888317721 3909952.872628971)
932148,2001,101,Arson,,10.0,35.29,-84.2217,POINT (207003.7822366407 3909965.60397494)
942559,2000,305,Arson,,3.0,35.29,-84.2233,POINT (206858.2194821218 3909970.338721445)
111795,1998,297,Arson,1998/10/24 00:00:00.000,5.0,35.29,-84.225,POINT (206703.5589716561 3909975.371973654)
153601,2002,226,Arson,2002/08/14 00:00:00.000,4.0,35.29027778,-84.22888889,POINT (206350.7645605242 3910017.718576625)
25172,2007,68,Arson,2007/03/09 00:00:00.000,80.0,35.29138889,-84.20916667,POINT (208149.0129655823 3910082.707695127)
130167,1999,96,Debris Burning,1999/04/06 00:00:00.000,2.0,35.29166667,-84.235,POINT (205799.8284341447 3910189.968185396)
153495,2000,294,Arson,2000/10/20 00:00:00.000,30.0,35.29222222,-84.22472222,POINT (206736.8567676449 3910221.12773017)
130195,1999,263,Arson,1999/09/20 00:00:00.000,2.0,35.29166667,-84.25333333,POINT (204131.9446050884 3910244.587543626)
153487,2000,128,Arson,2000/05/07 00:00:00.000,1.0,35.29333333,-84.22,POINT (207170.4644525996 3910330.442898711)
153445,2001,120,Arson,2001/04/30 00:00:00.000,21.0,35.29305556,-84.23166667,POINT (206108.10612362 3910334.182803497)
58634,1993,336,Campfire,1993/12/03 00:00:00.000,4.0,35.29333333,-84.26333333,POINT (203228.2775565095 3910459.446059041)
153486,2000,128,Arson,2000/05/07 00:00:00.000,2.0,35.29444444,-84.22222222,POINT (206972.3128637481 3910460.305478868)
25331,2007,315,Arson,2007/11/11 00:00:00.000,0.5,35.29777778,-84.11333333,POINT (216889.5711839176 3910513.406603753)
932151,2001,99,Arson,,50.0,35.295,-84.2217,POINT (207021.8249874211 3910520.405403379)
153507,2000,311,Arson,2000/11/06 00:00:00.000,25.0,35.295,-84.225,POINT (206721.6202626871 3910530.174003096)
30742,2008,162,Debris Burning,2008/06/10 00:00:00.000,2.0,35.29527778,-84.22583333,POINT (206646.8149793654 3910563.464997185)
942296,2000,37,Arson,,30.0,35.295,-84.2433,POINT (205056.8426946335 3910584.527415202)
942379,2000,111,Arson,,1.0,35.295,-84.2583,POINT (203692.2634178174 3910629.309496208)
942413,2000,135,Arson,,6.0,35.295,-84.2583,POINT (203692.2634178174 3910629.309496208)
153669,2002,154,Miscellaneous,2002/06/03 00:00:00.000,3.0,35.29527778,-84.25166667,POINT (204296.7230333237 3910640.303169267)
938965,1999,95,Arson,,12.0,35.295,-84.2683,POINT (202782.5401297073 3910659.279388945)
153587,2002,226,Arson,2002/08/14 00:00:00.000,3.0,35.29583333,-84.24777778,POINT (204652.5227688781 3910690.341356428)
939183,1999,326,Debris Burning,,0.1,35.295,-84.2867,POINT (201108.6413640752 3910714.664739286)
153447,2001,101,Arson,2001/04/11 00:00:00.000,6.0,35.29666667,-84.225,POINT (206727.6412021467 3910715.108452575)
112980,1998,334,Arson,1998/11/30 00:00:00.000,19.0,35.29666667,-84.23,POINT (206272.7943033545 3910729.928781857)
130202,1999,327,Arson,1999/11/23 00:00:00.000,8.0,35.29666667,-84.23333333,POINT (205969.5629253672 3910739.8217876)
130184,1999,231,Arson,1999/08/19 00:00:00.000,4.0,35.29666667,-84.24666667,POINT (204756.6322637557 3910779.49624115)
153484,2000,75,Arson,2000/03/15 00:00:00.000,0.2,35.29833333,-84.23,POINT (206278.8248202112 3910914.862460406)
130180,1999,227,Arson,1999/08/15 00:00:00.000,0.2,35.29833333,-84.24666667,POINT (204762.6939982754 3910964.430935659)
130183,1999,227,Arson,1999/08/15 00:00:00.000,0.1,35.29833333,-84.24666667,POINT (204762.6939982754 3910964.430935659)
153533,2001,283,Arson,2001/10/10 00:00:00.000,15.0,35.29972222,-84.22722222,POINT (206536.5339424898 3911060.737949649)
153496,2000,297,Arson,2000/10/23 00:00:00.000,5.0,35.30111111,-84.20111111,POINT (208916.7261123951 3911137.771482294)
153567,2002,137,Miscellaneous,2002/05/17 00:00:00.000,1.3,35.30111111,-84.225,POINT (206743.6982075521 3911208.265675668)
16536,2006,76,Arson,2006/03/18 00:00:00.000,31.0,35.30166667,-84.215,POINT (207655.3408431558 3911240.337521894)
942552,2000,305,Arson,,50.0,35.3017,-84.2167,POINT (207500.8231538831 3911249.056800312)
130219,1999,123,Arson,1999/05/03 00:00:00.000,2.0,35.30166667,-84.225,POINT (206745.7054755524 3911269.910900807)
130203,1999,339,Arson,1999/12/05 00:00:00.000,42.0,35.30166667,-84.22833333,POINT (206442.4933267214 3911279.789158528)
153573,2002,226,Arson,2002/08/14 00:00:00.000,12.0,35.30222222,-84.21833333,POINT (207354.1327851469 3911311.829052499)
153572,2002,225,Arson,2002/08/13 00:00:00.000,0.1,35.30222222,-84.21833333,POINT (207354.1327851469 3911311.829052499)
166986,2004,113,Arson,2004/04/22 00:00:00.000,6.0,35.30277778,-84.23694444,POINT (205663.222555179 3911428.64523373)
130214,1999,87,Arson,1999/03/28 00:00:00.000,1.5,35.305,-84.22,POINT (207212.5488788871 3911624.980191659)
942325,2000,85,Miscellaneous,,4.0,35.305,-84.2217,POINT (207057.917192395 3911630.009203434)
932354,2001,306,Debris Burning,,0.1,35.3033,-84.2867,POINT (201139.2036288806 3911635.655629575)
130191,1999,261,Arson,1999/09/18 00:00:00.000,6.0,35.305,-84.225,POINT (206757.7495550215 3911639.779004265)
594937,2006,68,Smoking,,0.1,35.30333001,-84.28833001,POINT (200991.0424025352 3911643.907619404)
73886,1994,309,Miscellaneous,1994/11/05 00:00:00.000,2.0,35.30333333,-84.29833333,POINT (200081.1139011469 3911674.53577341)
937357,1998,334,Arson,,25.0,35.305,-84.2567,POINT (203874.3044379295 3911734.139465305)
166977,2004,88,Arson,2004/03/29 00:00:00.000,33.0,35.31111111,-84.03527778,POINT (224035.1251515862 3911772.440402194)
153491,2000,284,Arson,2000/10/10 00:00:00.000,5.0,35.30694444,-84.20305556,POINT (208760.7855206495 3911790.75460706)
130193,1999,262,Arson,1999/09/19 00:00:00.000,3.0,35.30666667,-84.21833333,POINT (207370.1587326139 3911804.986618024)
130192,1999,261,Arson,1999/09/19 00:00:00.000,2.0,35.30666667,-84.22,POINT (207218.5619426094 3911809.914547487)
130194,1999,262,Arson,1999/09/19 00:00:00.000,0.1,35.30833333,-84.215,POINT (207679.3550637274 3911980.071445642)
82959,1995,100,Campfire,1995/04/10 00:00:00.000,3.0,35.31166667,-84.12,POINT (216331.6849132206 3912073.553456542)
934393,2002,54,Debris Burning,,0.1,35.3083,-84.29,POINT (200857.4558081942 3912200.437693005)
130186,1999,235,Arson,1999/08/23 00:00:00.000,0.1,35.31,-84.23333333,POINT (206017.8641648794 3912219.29936113)
153562,2002,98,Miscellaneous,2002/04/08 00:00:00.000,1.5,35.31055556,-84.23333333,POINT (206019.8770791639 3912280.944816958)
16521,2006,106,Arson,2006/04/23 00:00:00.000,592.0,35.31166667,-84.21777778,POINT (207438.7185249632 3912358.146327461)
153559,2002,96,Miscellaneous,2002/04/06 00:00:00.000,0.5,35.31611111,-84.13166667,POINT (215286.2033920003 3912600.190983497)
932339,2001,309,Arson,,2.0,35.3133,-84.2417,POINT (205268.8643251992 3912610.352154984)
