,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
246789,1999,111,Lightning,,130.0,35.562872999999996,-83.33972,POINT (287949.793473434 3937985.357913577)
358768,2004,166,Lightning,,0.1,35.586508,-83.416577,POINT (281047.2485870409 3940775.677861715)
358782,2006,150,Lightning,2006/05/31 00:00:00.000,0.5,35.617075,-83.429733,POINT (279938.7907777363 3944196.129868397)
358815,2008,191,Lightning,2008/07/15 00:00:00.000,0.1,35.62923,-83.47071,POINT (276260.6496620807 3945637.121923155)
246727,1992,78,Lightning,,1.0,35.629938,-83.478323,POINT (275573.0828933226 3945733.027563683)
246728,1992,217,Lightning,1992/08/06 00:00:00.000,0.1,35.6334,-83.4832,POINT (275141.0556538239 3946128.255920074)
358781,2006,133,Lightning,2006/05/14 00:00:00.000,0.1,35.637173,-83.490009,POINT (274534.9663288525 3946562.441887323)
358721,2000,70,Lightning,,0.2,35.641797,-83.477363,POINT (275693.1988799802 3947046.490235988)
246741,1993,210,Lightning,1993/07/31 00:00:00.000,0.1,35.655732,-83.39036800000001,POINT (283609.065887887 3948397.299517126)
246742,1993,219,Lightning,1993/08/08 00:00:00.000,0.1,35.671225,-83.41817900000001,POINT (281133.2807650538 3950177.727932434)
1006642,1993,190,Lightning,,0.1,35.6283,-83.025,POINT (316626.5956636975 3944610.885014596)
1470459,2011,165,Lightning,2011/06/18 00:00:00.000,7.7,35.4364,-83.6494,POINT (259500.1279444888 3924665.202729752)
1580875,2012,119,Lightning,2012/05/02 00:00:00.000,2.9,35.4564,-83.7961,POINT (246242.8546224317 3927251.445339258)
1470458,2011,94,Lightning,2011/04/07 00:00:00.000,69.8,35.4647,-83.8783,POINT (238807.7021044654 3928386.858799865)
1355062,2007,151,Lightning,2007/05/31 00:00:00.000,8.0,35.587666999999996,-83.9205,POINT (235381.6235834131 3942142.981883064)
1470461,2011,206,Lightning,2011/09/12 00:00:00.000,316.0,35.6283,-83.86,POINT (240995.9920096743 3946490.199634601)
1803207,2015,111,Lightning,2015/04/21 00:00:00.000,0.1,35.6378,-83.9025,POINT (237177.2334864402 3947657.134911901)
1354750,2007,129,Lightning,2007/05/11 00:00:00.000,75.0,35.669167,-83.67166999999999,POINT (258178.768764778 3950544.182900918)
1355900,2007,236,Lightning,2007/08/24 00:00:00.000,50.0,35.702283,-83.70903,POINT (254897.8052087031 3954311.038917132)
1580876,2012,172,Lightning,2012/06/29 00:00:00.000,15.4,35.7089,-83.7853,POINT (248016.3236261063 3955238.484618773)
1001835,1992,115,Lightning,,0.1,35.5817,-82.8617,POINT (331318.1291325149 3939149.39659746)
246778,1998,251,Lightning,,0.1,35.591265,-83.272908,POINT (294078.7877987095 3940993.171271736)
1038631,2000,317,Lightning,,4.0,35.5667,-82.8167,POINT (335365.1638300207 3937409.333013152)
1001834,1992,115,Lightning,,0.1,35.5783,-82.8483,POINT (332525.3107199916 3938749.366644857)
252057,2007,200,Lightning,2007/07/19 00:00:00.000,1.0,35.5551,-83.2807,POINT (293279.7725460519 3936997.531942055)
251797,2000,84,Lightning,2000/03/24 00:00:00.000,1.5,35.556999999999995,-83.2843,POINT (292958.3051476083 3937215.872790968)
1737186,2014,135,Lightning,2014/05/15 00:00:00.000,1.0,35.52483333,-83.07766666,POINT (311614.4599424267 3933232.793648533)
174282,1992,116,Lightning,1992/04/25 00:00:00.000,2.0,35.5334,-83.1999,POINT (300550.8374682856 3934423.661581981)
1461299,2011,115,Lightning,2011/04/27 00:00:00.000,1.5,35.51956,-83.24725,POINT (296222.2301381709 3932985.227887548)
52610,1992,25,Lightning,1992/01/25 00:00:00.000,0.1,35.41833333,-83.85833333,POINT (240471.1383897693 3923189.79690477)
