Time,InitRow,InitColumn,InitPercentConifer,WindSpeed,WindDirection,FireWeatherIndex,TotalSites,CohortsKilled,MeanSeverity,
1, 1, 1, 0, 0, 0, 3.39770057371059, 0, 0, 0, 
1, 1, 2, 0, 0, 0, 3.61234033404073, 0, 0, 0, 
1, 1, 3, 0, 0, 0, 5.44057507299105, 0, 0, 0, 
1, 1, 4, 0, 0, 0, 7.581819907949, 0, 0, 0, 
1, 1, 5, 0, 0, 0, 11.8420070643126, 0, 0, 0, 
1, 1, 6, 0, 0, 0, 12.6410752584981, 0, 0, 0, 
1, 1, 7, 0, 0, 0, 10.8428301265619, 0, 0, 0, 
1, 1, 8, 0, 0, 0, 15.0020899581388, 0, 0, 0, 
1, 1, 9, 0, 0, 0, 11.1778353919121, 0, 0, 0, 
1, 1, 10, 0, 0, 0, 11.362632577363, 0, 0, 0, 
1, 1, 11, 0, 0, 0, 10.6102386276928, 0, 0, 0, 
1, 1, 12, 0, 0, 0, 11.8954465331626, 0, 0, 0, 
1, 1, 13, 0, 0, 0, 10.8843452759999, 0, 0, 0, 
1, 1, 14, 0, 0, 0, 6.51403075826889, 0, 0, 0, 
1, 1, 15, 0, 0, 0, 6.89067614704074, 0, 0, 0, 
1, 1, 16, 0, 0, 0, 6.09222275239273, 0, 0, 0, 
1, 1, 17, 0, 0, 0, 7.16387869289309, 0, 0, 0, 
1, 1, 18, 0, 0, 0, 11.1126848870796, 0, 0, 0, 
1, 1, 19, 0, 0, 0, 10.56008140032, 0, 0, 0, 
1, 1, 20, 0, 0, 0, 11.8391691675625, 0, 0, 0, 
1, 1, 21, 0, 0, 0, 5.97946109298886, 0, 0, 0, 
1, 1, 22, 0, 0, 0, 7.32353541414649, 0, 0, 0, 
1, 1, 23, 0, 0, 0, 8.39453021301624, 0, 0, 0, 
1, 1, 24, 0, 0, 0, 9.70291864355116, 0, 0, 0, 
1, 1, 25, 0, 0, 0, 10.8478508432694, 0, 0, 0, 
1, 1, 26, 0, 0, 0, 13.7754640543817, 0, 0, 0, 
1, 1, 27, 0, 0, 0, 12.6082661613941, 0, 0, 0, 
1, 1, 28, 0, 0, 0, 22.305971094561, 0, 0, 0, 
1, 1, 29, 0, 0, 0, 14.6834864852045, 0, 0, 0, 
1, 1, 30, 0, 0, 0, 11.1584447647544, 0, 0, 0, 
1, 1, 31, 0, 0, 0, 12.0589334995023, 0, 0, 0, 
1, 1, 32, 0, 0, 0, 12.9297989893555, 0, 0, 0, 
1, 1, 33, 0, 0, 0, 17.6525716158374, 0, 0, 0, 
1, 1, 34, 0, 0, 0, 12.0609081083718, 0, 0, 0, 
1, 1, 35, 0, 0, 0, 11.6138858125963, 0, 0, 0, 
1, 1, 36, 0, 0, 0, 14.6243101128074, 0, 0, 0, 
1, 1, 37, 0, 0, 0, 23.0185590607128, 0, 0, 0, 
