# ppt,,,,,,
,MN101,MN102    ,MN101,MN102    ,MN101,MN102    
TIMESTEP,MEAN(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d)
1979-03-15T00:00:00Z,3.5709212,6.86856,24.986725,39.659603,4.9986725,6.2975874
1979-03-16T00:00:00Z,1.6867042,2.7568796,2.5875173,11.570846,1.6085762,3.4015946
1979-03-17T00:00:00Z,1.4850615,1.9099247,1.2862201,1.0601888,1.1341164,1.0296546
1979-03-18T00:00:00Z,7.2673573,8.587617,16.612911,13.10697,4.075894,3.620355
1979-03-19T00:00:00Z,7.9096336,9.349352,10.998579,11.28901,3.3164105,3.3599122
1979-03-20T00:00:00Z,1.0802233,1.7901078,1.3491323,2.0014887,1.1615216,1.4147398
1979-03-21T00:00:00Z,0.4400258,1.0056697,0.894012,1.6047618,0.94552207,1.2667919
1979-03-22T00:00:00Z,0.23704256,0.44707972,0.22002907,0.3784998,0.46907255,0.6152234
1979-03-23T00:00:00Z,0.2035854,0.46559423,0.20560116,0.40564936,0.45343262,0.6369061
1979-03-24T00:00:00Z,0,0,0,0,0,0
1979-03-25T00:00:00Z,0.6454263,1.1131243,1.2139075,2.9173303,1.1017747,1.7080194
1979-03-26T00:00:00Z,5.2359276,8.732774,24.56188,44.691998,4.9559946,6.6852074
1979-03-27T00:00:00Z,16.945507,22.872362,78.54989,108.64971,8.862837,10.423517
1979-03-28T00:00:00Z,17.872953,17.411192,173.67642,137.14717,13.178635,11.710985
1979-03-29T00:00:00Z,1.3214333,1.955124,1.8429681,3.0311756,1.3575597,1.7410271
1979-03-30T00:00:00Z,0,0,0,0,0,0
1979-03-31T00:00:00Z,0.035173286,0.038450293,0.014690105,0.025500609,0.121202745,0.1596891
1979-04-01T00:00:00Z,0.28790006,0.15176855,0.17241041,0.106335424,0.41522333,0.3260911
1979-04-02T00:00:00Z,0,0,0,0,0,0
