# ppt,,,,,,
,MN101,MN101,MN101,MN102    ,MN102    ,MN102    
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1992-03-13T00:00:00Z,0,0,0,0,0,0
1992-03-14T00:00:00Z,2.1144385,10.462861,3.2346346,2.1144385,10.462861,3.2346346
1992-03-15T00:00:00Z,4.154356,20.97369,4.5797043,4.154356,20.97369,4.5797043
1992-03-16T00:00:00Z,0.3910862,0.04903824,0.2214458,0.3910862,0.04903824,0.2214458
1992-03-17T00:00:00Z,0,0,0,0,0,0
1992-03-18T00:00:00Z,0,0,0,0,0,0
1992-03-19T00:00:00Z,0,0,0,0,0,0
1992-03-20T00:00:00Z,0.4969917,0.071348995,0.2671123,0.4969917,0.071348995,0.2671123
1992-03-21T00:00:00Z,2.216847,3.2134557,1.7926114,2.216847,3.2134557,1.7926114
1992-03-22T00:00:00Z,1.3022968,0.5086084,0.71316785,1.3022968,0.5086084,0.71316785
1992-03-23T00:00:00Z,0,0,0,0,0,0
1992-03-24T00:00:00Z,1.9464488,8.862114,2.9769304,1.9464488,8.862114,2.9769304
1992-03-25T00:00:00Z,0.48745167,0.014213336,0.1192197,0.48745167,0.014213336,0.1192197
1992-03-26T00:00:00Z,1.5270828,0.71539,0.8458073,1.5270828,0.71539,0.8458073
1992-03-27T00:00:00Z,1.3222816,0.09757352,0.3123676,1.3222816,0.09757352,0.3123676
1992-03-28T00:00:00Z,0,0,0,0,0,0
1992-03-29T00:00:00Z,1.8177283,0.8506598,0.9223122,1.8177283,0.8506598,0.9223122
1992-03-30T00:00:00Z,11.865552,8.048359,2.836963,11.865552,8.048359,2.836963
1992-03-31T00:00:00Z,12.580318,47.076473,6.86123,12.580318,47.076473,6.86123
1992-04-01T00:00:00Z,0,0,0,0,0,0
1992-04-02T00:00:00Z,0,0,0,0,0,0
1992-04-03T00:00:00Z,0,0,0,0,0,0
1992-04-04T00:00:00Z,0,0,0,0,0,0
1992-04-05T00:00:00Z,0,0,0,0,0,0
1992-04-06T00:00:00Z,0,0,0,0,0,0
1992-04-07T00:00:00Z,0,0,0,0,0,0
1992-04-08T00:00:00Z,0,0,0,0,0,0
1992-04-09T00:00:00Z,0,0,0,0,0,0
1992-04-10T00:00:00Z,0,0,0,0,0,0
1992-04-11T00:00:00Z,0,0,0,0,0,0
1992-04-12T00:00:00Z,2.1276357,0.42121878,0.6490137,2.1276357,0.42121878,0.6490137
1992-04-13T00:00:00Z,3.0820677,3.5175643,1.8755171,3.0820677,3.5175643,1.8755171
1992-04-14T00:00:00Z,0.64204645,0.94789475,0.9735989,0.64204645,0.94789475,0.9735989
1992-04-15T00:00:00Z,0,0,0,0,0,0
1992-04-16T00:00:00Z,2.3907351,10.778945,3.2831304,2.3907351,10.778945,3.2831304
1992-04-17T00:00:00Z,0,0,0,0,0,0
1992-04-18T00:00:00Z,0,0,0,0,0,0
1992-04-19T00:00:00Z,0,0,0,0,0,0
1992-04-20T00:00:00Z,0,0,0,0,0,0
1992-04-21T00:00:00Z,0,0,0,0,0,0
1992-04-22T00:00:00Z,0,0,0,0,0,0
1992-04-23T00:00:00Z,0,0,0,0,0,0
1992-04-24T00:00:00Z,0,0,0,0,0,0
1992-04-25T00:00:00Z,0,0,0,0,0,0
1992-04-26T00:00:00Z,0,0,0,0,0,0
1992-04-27T00:00:00Z,0,0,0,0,0,0
1992-04-28T00:00:00Z,0,0,0,0,0,0
1992-04-29T00:00:00Z,0,0,0,0,0,0
1992-04-30T00:00:00Z,0,0,0,0,0,0
1992-05-01T00:00:00Z,0,0,0,0,0,0
1992-05-02T00:00:00Z,0.4993492,0.58038956,0.761833,0.4993492,0.58038956,0.761833
1992-05-03T00:00:00Z,0,0,0,0,0,0
1992-05-04T00:00:00Z,0,0,0,0,0,0
1992-05-05T00:00:00Z,0.19895332,0.09346835,0.30572596,0.19895332,0.09346835,0.30572596
1992-05-06T00:00:00Z,4.61113,49.737923,7.0525117,4.61113,49.737923,7.0525117
1992-05-07T00:00:00Z,0.34232268,0.12132702,0.34832028,0.34232268,0.12132702,0.34832028
1992-05-08T00:00:00Z,0,0,0,0,0,0
1992-05-09T00:00:00Z,0,0,0,0,0,0
1992-05-10T00:00:00Z,0,0,0,0,0,0
1992-05-11T00:00:00Z,0,0,0,0,0,0
1992-05-12T00:00:00Z,0,0,0,0,0,0
1992-05-13T00:00:00Z,0,0,0,0,0,0
1992-05-14T00:00:00Z,0,0,0,0,0,0
1992-05-15T00:00:00Z,0.13200293,0.007271973,0.085275866,0.13200293,0.007271973,0.085275866
1992-05-16T00:00:00Z,0,0,0,0,0,0
1992-05-17T00:00:00Z,0.1869844,0.017307142,0.13155662,0.1869844,0.017307142,0.13155662
1992-05-18T00:00:00Z,0.42385158,0.42131934,0.6490912,0.42385158,0.42131934,0.6490912
1992-05-19T00:00:00Z,0.06346575,0.005231614,0.07232989,0.06346575,0.005231614,0.07232989
1992-05-20T00:00:00Z,0.009556647,2.60E-04,0.016139802,0.009556647,2.60E-04,0.016139802
1992-05-21T00:00:00Z,0,0,0,0,0,0
1992-05-22T00:00:00Z,0,0,0,0,0,0
1992-05-23T00:00:00Z,0,0,0,0,0,0
1992-05-24T00:00:00Z,0.35376194,0.010636162,0.10313177,0.35376194,0.010636162,0.10313177
1992-05-25T00:00:00Z,0.06346575,0.005231614,0.07232989,0.06346575,0.005231614,0.07232989
1992-05-26T00:00:00Z,2.2723906,2.3431273,1.5307276,2.2723906,2.3431273,1.5307276
1992-05-27T00:00:00Z,0,0,0,0,0,0
1992-05-28T00:00:00Z,0,0,0,0,0,0
1992-05-29T00:00:00Z,0,0,0,0,0,0
1992-05-30T00:00:00Z,0,0,0,0,0,0
1992-05-31T00:00:00Z,0,0,0,0,0,0
1992-06-01T00:00:00Z,0,0,0,0,0,0
1992-06-02T00:00:00Z,0,0,0,0,0,0
1992-06-03T00:00:00Z,0,0,0,0,0,0
1992-06-04T00:00:00Z,0,0,0,0,0,0
1992-06-05T00:00:00Z,1.5592676,5.7820463,2.4045887,1.5592676,5.7820463,2.4045887
1992-06-06T00:00:00Z,0.38319483,0.34753656,0.5895223,0.38319483,0.34753656,0.5895223
1992-06-07T00:00:00Z,0.6057558,0.86914486,0.9322794,0.6057558,0.86914486,0.9322794
1992-06-08T00:00:00Z,0,0,0,0,0,0
1992-06-09T00:00:00Z,0,0,0,0,0,0
1992-06-10T00:00:00Z,0,0,0,0,0,0
1992-06-11T00:00:00Z,0.045476064,0.005045361,0.0710307,0.045476064,0.005045361,0.0710307
1992-06-12T00:00:00Z,0,0,0,0,0,0
1992-06-13T00:00:00Z,3.1194293,6.0983715,2.4694881,3.1194293,6.0983715,2.4694881
1992-06-14T00:00:00Z,14.7647705,1.3441836,1.1593893,14.7647705,1.3441836,1.1593893
1992-06-15T00:00:00Z,2.9878223,1.6269239,1.2755092,2.9878223,1.6269239,1.2755092
1992-06-16T00:00:00Z,11.549082,31.167843,5.5828166,11.549082,31.167843,5.5828166
1992-06-17T00:00:00Z,0.2793474,0.10908113,0.3302743,0.2793474,0.10908113,0.3302743
1992-06-18T00:00:00Z,2.2014565,0.29111457,0.5395503,2.2014565,0.29111457,0.5395503
1992-06-19T00:00:00Z,0,0,0,0,0,0
1992-06-20T00:00:00Z,0,0,0,0,0,0
1992-06-21T00:00:00Z,0,0,0,0,0,0
1992-06-22T00:00:00Z,1.1178566,2.7944725,1.6716676,1.1178566,2.7944725,1.6716676
1992-06-23T00:00:00Z,2.8711028,0.31343445,0.5598522,2.8711028,0.31343445,0.5598522
1992-06-24T00:00:00Z,1.5386075,0.18185428,0.42644376,1.5386075,0.18185428,0.42644376
1992-06-25T00:00:00Z,7.55276,15.094945,3.8852215,7.55276,15.094945,3.8852215
1992-06-26T00:00:00Z,0,0,0,0,0,0
1992-06-27T00:00:00Z,0.943076,2.1108518,1.452877,0.943076,2.1108518,1.452877
1992-06-28T00:00:00Z,3.5934796,30.65179,5.536406,3.5934796,30.65179,5.536406
1992-06-29T00:00:00Z,0,0,0,0,0,0
1992-06-30T00:00:00Z,0,0,0,0,0,0
1992-07-01T00:00:00Z,0,0,0,0,0,0
1992-07-02T00:00:00Z,0,0,0,0,0,0
1992-07-03T00:00:00Z,0,0,0,0,0,0
1992-07-04T00:00:00Z,0,0,0,0,0,0
1992-07-05T00:00:00Z,0,0,0,0,0,0
