Time,InitRow,InitColumn,InitPercentConifer,WindSpeed,WindDirection,FireWeatherIndex,TotalSites,CohortsKilled,MeanSeverity,
1, 94, 4, 0, 0, 0, 0.162425858212351, 0, 0, 0, 
1, 63, 26, 0, 0, 0, NaN, 0, 0, 0, 
1, 62, 26, 0, 0, 0, NaN, 0, 0, 0, 
1, 62, 25, 0, 0, 0, NaN, 0, 0, 0, 
1, 61, 25, 0, 0, 0, NaN, 0, 0, 0, 
1, 61, 24, 0, 0, 0, NaN, 0, 0, 0, 
1, 60, 24, 0, 0, 0, NaN, 0, 0, 0, 
1, 45, 48, 0, 0, 0, NaN, 0, 0, 0, 
1, 46, 48, 0, 0, 0, NaN, 0, 0, 0, 
1, 47, 48, 0, 0, 0, NaN, 0, 0, 0, 
1, 48, 48, 0, 0, 0, NaN, 0, 0, 0, 
1, 48, 49, 0, 0, 0, NaN, 0, 0, 0, 
1, 48, 50, 0, 0, 0, NaN, 0, 0, 0, 
1, 1, 87, 0, 0, 0, NaN, 0, 0, 0, 
1, 1, 86, 0, 0, 0, NaN, 0, 0, 0, 
1, 1, 85, 0, 0, 0, NaN, 0, 0, 0, 
1, 1, 84, 0, 0, 0, NaN, 0, 0, 0, 
1, 2, 84, 0, 0, 0, NaN, 0, 0, 0, 
1, 2, 83, 0, 0, 0, NaN, 0, 0, 0, 
1, 75, 45, 0, 0, 0, NaN, 0, 0, 0, 
1, 76, 45, 0, 0, 0, NaN, 0, 0, 0, 
1, 76, 46, 0, 0, 0, NaN, 0, 0, 0, 
1, 76, 47, 0, 0, 0, NaN, 0, 0, 0, 
1, 77, 47, 0, 0, 0, NaN, 0, 0, 0, 
1, 78, 47, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 54, 0, 0, 0, NaN, 0, 0, 0, 
1, 35, 54, 0, 0, 0, NaN, 0, 0, 0, 
1, 35, 53, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 53, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 52, 0, 0, 0, NaN, 0, 0, 0, 
1, 37, 52, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 79, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 79, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 77, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 76, 0, 0, 0, NaN, 0, 0, 0, 
1, 61, 29, 0, 0, 0, NaN, 0, 0, 0, 
1, 60, 29, 0, 0, 0, NaN, 0, 0, 0, 
1, 60, 30, 0, 0, 0, NaN, 0, 0, 0, 
1, 61, 30, 0, 0, 0, NaN, 0, 0, 0, 
1, 62, 30, 0, 0, 0, NaN, 0, 0, 0, 
1, 63, 30, 0, 0, 0, NaN, 0, 0, 0, 
1, 25, 42, 0, 0, 0, NaN, 0, 0, 0, 
1, 25, 41, 0, 0, 0, NaN, 0, 0, 0, 
1, 26, 41, 0, 0, 0, NaN, 0, 0, 0, 
1, 26, 40, 0, 0, 0, NaN, 0, 0, 0, 
1, 27, 40, 0, 0, 0, NaN, 0, 0, 0, 
1, 27, 39, 0, 0, 0, NaN, 0, 0, 0, 
1, 64, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 64, 77, 0, 0, 0, NaN, 0, 0, 0, 
1, 64, 76, 0, 0, 0, NaN, 0, 0, 0, 
1, 65, 76, 0, 0, 0, NaN, 0, 0, 0, 
1, 66, 76, 0, 0, 0, NaN, 0, 0, 0, 
1, 67, 76, 0, 0, 0, NaN, 0, 0, 0, 
1, 38, 3, 0, 0, 0, 0.179493706404326, 0, 0, 0, 
1, 37, 3, 0, 0, 0, 0.179493706404326, 0, 0, 0, 
1, 36, 3, 0, 0, 0, 0.179493706404326, 0, 0, 0, 
1, 36, 4, 0, 0, 0, 0.179493706404326, 0, 0, 0, 
1, 35, 4, 0, 0, 0, 0.179493706404326, 0, 0, 0, 
1, 35, 3, 0, 0, 0, 0.179493706404326, 0, 0, 0, 
1, 68, 31, 0, 0, 0, NaN, 0, 0, 0, 
1, 68, 32, 0, 0, 0, NaN, 0, 0, 0, 
1, 68, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 69, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 69, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 68, 34, 0, 0, 0, NaN, 0, 0, 0, 
