Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
1, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
1, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
2, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
2, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
3, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
3, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
4, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
4, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
5, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
5, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
6, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
6, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
7, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
7, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
8, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
8, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
9, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
9, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
0, MN101, 1881, 23830.11, 3.4, 515.9, 0.0
0, MN102, 7920, 22818.78, 0.7, 466.2, 0.0
10, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
10, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
11, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
11, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
12, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
12, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
13, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
13, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
14, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
14, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
15, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
15, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
16, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
16, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
17, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
17, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
18, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
18, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
19, MN101, 1881, 24293.71, 868.4, 509.5, 0.0
19, MN102, 7920, 23172.02, 807.9, 453.4, 0.0
20, MN101, 1881, 24629.67, 851.1, 498.0, 0.0
20, MN102, 7920, 23372.00, 801.8, 445.8, 0.0
