,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11
TIMESTEP,MEAN(m/s),MEAN(m/s),MEAN(m/s),MEAN(m/s),MEAN(m/s),MEAN(m/s),MEAN(m/s),MEAN(m/s),MEAN(m/s),MEAN(m/s),VARIANCE(m/s^2),VARIANCE(m/s^2),VARIANCE(m/s^2),VARIANCE(m/s^2),VARIANCE(m/s^2),VARIANCE(m/s^2),VARIANCE(m/s^2),VARIANCE(m/s^2),VARIANCE(m/s^2),VARIANCE(m/s^2),STD_DEV(m/s),STD_DEV(m/s),STD_DEV(m/s),STD_DEV(m/s),STD_DEV(m/s),STD_DEV(m/s),STD_DEV(m/s),STD_DEV(m/s),STD_DEV(m/s),STD_DEV(m/s)
1979-01-01T00:00:00Z,7.453754,7.238316,6.919582,7.348414,6.100182,7.001471,6.735151,7.608851,6.963559,6.965222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-02T00:00:00Z,7.96793,8.568557,8.055446,8.402166,8.213516,7.535634,7.981606,8.297032,8.543722,8.049309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-03T00:00:00Z,5.446088,5.537224,5.507202,5.33757,5.174449,5.7053,5.95564,6.038847,5.273634,6.222226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-04T00:00:00Z,2.93828,2.834528,2.938082,2.583018,2.626923,3.504036,3.487229,3.366287,2.459221,3.827616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-05T00:00:00Z,3.771403,3.386266,3.38303,3.394417,2.809406,4.030607,3.552185,4.095116,3.121717,3.818152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-06T00:00:00Z,4.848436,4.515305,4.210079,4.442038,3.67743,4.9287,4.039297,5.036119,4.201921,4.267877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-07T00:00:00Z,6.921966,6.65779,6.46129,6.866941,5.483539,6.646816,6.458197,7.317317,6.465921,6.73397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-08T00:00:00Z,6.473872,6.976939,6.56057,6.775552,6.648996,6.32942,6.384948,6.78817,6.822601,6.510275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-09T00:00:00Z,3.04694,3.266429,3.169261,3.052327,3.328534,3.377559,3.332847,3.440865,3.037296,3.572922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
