,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11
TIMESTEP,MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES)
1979-01-26T00:00:00Z,306.832815,312.745867,316.007253,292.473527,289.483172,313.444734,304.371028,314.588673,303.664621,306.00339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-27T00:00:00Z,200.390474,192.003745,214.673055,194.953934,228.100968,218.118042,215.183458,205.715225,195.4432,222.811445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-28T00:00:00Z,295.522168,298.59368,293.02447,296.403255,293.976796,292.967935,287.510814,294.101764,296.154395,289.070647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-29T00:00:00Z,323.690062,326.823096,317.011399,325.835452,317.244617,314.01047,306.539798,318.101515,324.677816,307.66378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-30T00:00:00Z,299.947708,304.743412,306.286429,281.102308,287.028571,320.243826,311.744202,318.671689,275.248122,312.962857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-31T00:00:00Z,304.591206,310.382909,304.948877,311.381606,308.018845,298.468566,295.524844,301.84607,311.879117,295.104816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-01T00:00:00Z,319.65806,322.650748,315.619994,322.681964,315.906048,313.281675,307.179787,315.81565,322.024231,308.21576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-02T00:00:00Z,315.267522,314.537272,316.967903,314.214365,308.266298,314.546599,306.712456,314.222008,315.419153,308.380355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-03T00:00:00Z,253.122527,253.953966,244.057556,240.353889,248.728701,258.253849,246.17947,254.071727,236.66232,251.905317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-04T00:00:00Z,293.859295,303.425401,296.238956,304.798841,300.788762,290.015888,284.355486,292.15549,307.31755,285.405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-05T00:00:00Z,304.218639,313.307414,303.626026,295.003308,298.859588,316.053302,307.627126,316.053751,302.173634,308.793555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-06T00:00:00Z,208.413637,196.640265,232.531672,199.487545,167.281014,204.022081,222.774515,220.441341,195.967511,221.254447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-07T00:00:00Z,212.556586,207.867713,195.866669,209.571377,188.977524,202.601174,186.182908,194.230344,210.415042,197.763711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-08T00:00:00Z,301.125191,306.883198,294.773284,301.370585,297.653386,293.868538,284.939361,296.988422,301.441828,287.471897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-09T00:00:00Z,320.276126,321.157901,322.115657,324.489566,319.244926,320.662038,320.170715,320.571799,323.808926,320.552013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-10T00:00:00Z,314.177642,323.065638,309.549777,325.113076,310.502434,298.344603,291.787889,306.870531,325.012879,291.184974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-11T00:00:00Z,260.428832,271.465527,250.676548,262.341749,262.369729,256.458527,243.174912,257.788359,265.153465,245.868753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-12T00:00:00Z,237.472696,235.719135,228.064328,230.558158,225.091644,234.643055,226.91363,235.491618,228.731553,227.932173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-13T00:00:00Z,313.237533,319.300276,315.21953,323.624608,317.499614,309.576523,307.045573,311.494535,324.425008,307.529867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-14T00:00:00Z,214.768449,201.299589,205.816013,200.961462,198.874174,218.960957,210.912668,216.490477,195.057071,210.784256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-15T00:00:00Z,233.715257,227.277479,229.973314,222.928988,222.514513,240.295164,234.898043,235.987682,219.726273,237.152706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-16T00:00:00Z,290.164998,293.700482,296.482224,301.062924,292.352488,295.408959,290.547118,293.238527,301.480363,291.159934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-17T00:00:00Z,65.129522,65.261687,54.461425,57.903715,53.966231,59.374546,56.005566,63.648027,56.091628,54.05873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-18T00:00:00Z,205.297551,206.312077,209.283261,220.614999,177.872602,225.36786,204.817349,217.298786,218.361796,199.630852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-19T00:00:00Z,328.226572,339.234493,324.139125,333.572314,335.021462,315.587757,310.246446,319.445522,330.629246,312.178312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-20T00:00:00Z,195.908761,208.920656,202.37525,203.379966,203.531369,192.139716,193.734012,193.721103,203.807488,193.731568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-21T00:00:00Z,193.730028,195.430366,196.091446,195.865802,214.079155,198.977107,198.952913,195.051196,199.650504,200.642289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
